idx1	idx2	t_1	t_2	t_3	q_1	q_2	q_3	q_4
10.0000000000	12.0000000000	6.8299222972	0.0252035714	0.0765933042	0.0003048310	0.0026903341	-0.0010872201	0.9999957436
10.0000000000	14.0000000000	12.3545650562	0.0441600537	0.1313181687	-0.0016270370	-0.0008729877	-0.0016730981	0.9999968957
10.0000000000	17.0000000000	19.3212367345	0.0569111362	0.2109696581	-0.0047871648	0.0010486763	-0.0014945456	0.9999868747
11.0000000000	13.0000000000	6.8733970277	0.0111840225	0.0777753735	0.0028822093	0.0002967862	-0.0008924580	0.9999954041
11.0000000000	16.0000000000	13.8067426196	0.0383858444	0.1575070282	-0.0000242186	0.0006950253	-0.0011647198	0.9999990799
11.0000000000	19.0000000000	22.2253154552	0.0732406886	0.2513036680	-0.0033009411	0.0010653426	-0.0004264779	0.9999938935
12.0000000000	13.0000000000	2.7646175886	0.0088067038	0.0429244383	0.0002542208	-0.0021837181	-0.0002325528	0.9999975563
12.0000000000	16.0000000000	9.6974447266	0.0455832577	0.1568750754	-0.0026517825	-0.0017881060	-0.0005130662	0.9999947537
12.0000000000	19.0000000000	18.1154006502	0.0920480111	0.2922113886	-0.0059305417	-0.0014179775	0.0002160667	0.9999813855
13.0000000000	14.0000000000	2.7597448141	0.0235077310	0.0294448178	-0.0021810823	-0.0013824795	-0.0003523195	0.9999966037
13.0000000000	17.0000000000	9.7262787622	0.0547597483	0.1161268501	-0.0053438306	0.0005351127	-0.0001764500	0.9999855629
13.0000000000	19.0000000000	15.3516828983	0.0904878706	0.1822000333	-0.0061839424	0.0007643790	0.0004619262	0.9999804804
14.0000000000	16.0000000000	4.1736140604	0.0192716078	0.0427465879	-0.0007261358	0.0017769042	0.0000829311	0.9999981542
14.0000000000	19.0000000000	12.5922553234	0.0752618160	0.1182494896	-0.0040025122	0.0021436428	0.0008244540	0.9999893524
14.0000000000	20.0000000000	15.4110555013	0.0998279744	0.1406580723	-0.0038846116	0.0029093144	0.0015965480	0.9999869483
15.0000000000	17.0000000000	5.5783318473	0.0314257520	0.0575884602	-0.0028268985	0.0017933238	0.0003807729	0.9999943238
15.0000000000	18.0000000000	8.3853384044	0.0583104805	0.0804634947	-0.0044929890	0.0021578534	0.0004737644	0.9999874661
15.0000000000	20.0000000000	14.0226266250	0.0986898854	0.1327844396	-0.0035486854	0.0027859497	0.0017931455	0.9999882149
16.0000000000	17.0000000000	2.7930021443	0.0160463661	0.0347697848	-0.0024372258	0.0001393050	0.0000972600	0.9999970155
16.0000000000	19.0000000000	8.4183283912	0.0544625396	0.1055021761	-0.0032776641	0.0003664865	0.0007359669	0.9999942905
16.0000000000	21.0000000000	14.0790027513	0.1062440689	0.1708955667	-0.0036718041	0.0013915092	0.0023924544	0.9999894288
17.0000000000	19.0000000000	5.6253166777	0.0369705248	0.0724819220	-0.0008405095	0.0002257063	0.0006391419	0.9999994170
17.0000000000	20.0000000000	8.4440202214	0.0603194343	0.1058437132	-0.0007239562	0.0009889141	0.0014138781	0.9999982494
17.0000000000	23.0000000000	16.9705746738	0.1416883111	0.1985238154	0.0012742815	0.0023679927	0.0038599112	0.9999889349
18.0000000000	20.0000000000	5.6370470403	0.0344587907	0.0769853780	0.0009417429	0.0006217113	0.0013242234	0.9999984865
18.0000000000	22.0000000000	11.3288458806	0.0896958087	0.1438175692	0.0010698203	0.0019627329	0.0031252379	0.9999926180
18.0000000000	24.0000000000	17.0046820105	0.1470287455	0.2057628312	0.0040459021	0.0025646991	0.0034251143	0.9999826606
19.0000000000	21.0000000000	5.6606949092	0.0430049932	0.0698520174	-0.0003940060	0.0010198793	0.0016596970	0.9999980250
19.0000000000	22.0000000000	8.5105847627	0.0687929916	0.0998218747	0.0002459347	0.0021049185	0.0025752959	0.9999944383
19.0000000000	25.0000000000	17.0356611158	0.1398855045	0.1865722437	0.0050296833	0.0030180817	0.0025111530	0.9999796436
20.0000000000	22.0000000000	5.6918325004	0.0402957701	0.0738186853	0.0001287387	0.0013425498	0.0017998358	0.9999974708
20.0000000000	24.0000000000	11.3677139927	0.0827204914	0.1427266218	0.0031054380	0.0019408620	0.0021010082	0.9999910875
20.0000000000	25.0000000000	14.2168647782	0.0981935245	0.1735512270	0.0049132436	0.0022520062	0.0017392462	0.9999838816
21.0000000000	23.0000000000	5.6846106976	0.0280749969	0.0731008715	0.0025096825	0.0011135741	0.0015663647	0.9999950040
21.0000000000	25.0000000000	11.3749618106	0.0590231100	0.1399848914	0.0054261192	0.0019888805	0.0008578035	0.9999829327
21.0000000000	26.0000000000	14.2206060697	0.0758421735	0.1782464870	0.0058471377	0.0016236127	0.0001954350	0.9999815682
22.0000000000	24.0000000000	5.6757936427	0.0220096583	0.0841417681	0.0029773645	0.0005930013	0.0003051016	0.9999953453
22.0000000000	25.0000000000	8.5248894778	0.0272338932	0.1226148649	0.0047862117	0.0009008552	-0.0000542593	0.9999881388
22.0000000000	27.0000000000	14.1796587960	0.0547716094	0.2055347132	0.0030104248	0.0012107512	-0.0014103864	0.9999937411
23.0000000000	25.0000000000	5.6902572233	0.0134877389	0.0794450433	0.0029186122	0.0008689691	-0.0007074870	0.9999951130
23.0000000000	26.0000000000	8.5358480583	0.0215993335	0.1239813809	0.0033397980	0.0005013828	-0.0013684654	0.9999933608
23.0000000000	29.0000000000	15.5597368917	0.0470693172	0.2132618077	-0.0045577781	0.0021250514	-0.0028955470	0.9999831632
24.0000000000	26.0000000000	5.6945826770	0.0139191415	0.0895432236	0.0022308540	-0.0000619371	-0.0010195341	0.9999969900
24.0000000000	28.0000000000	9.9188620118	0.0336399805	0.1518996882	-0.0017009279	0.0013041760	-0.0019419569	0.9999958174
24.0000000000	30.0000000000	15.5010654513	0.0600670213	0.2221050474	-0.0082188337	0.0013333490	-0.0035519341	0.9999590275
25.0000000000	27.0000000000	5.6546115295	0.0289950788	0.0928354362	-0.0017745861	0.0003033001	-0.0013591947	0.9999974557
25.0000000000	28.0000000000	7.0697262164	0.0353992052	0.1142872836	-0.0035099560	0.0009938162	-0.0015856354	0.9999920891
25.0000000000	31.0000000000	15.4250137629	0.0621311903	0.2285651022	-0.0095730966	0.0013666323	-0.0033684487	0.9999475695
26.0000000000	28.0000000000	4.2242395199	0.0286103693	0.0617272943	-0.0039332169	0.0013600423	-0.0009252247	0.9999909120
26.0000000000	29.0000000000	7.0237019853	0.0453137907	0.0960877755	-0.0078989450	0.0016077568	-0.0015364672	0.9999663300
26.0000000000	31.0000000000	12.5795623859	0.0664553965	0.1698117388	-0.0099972415	0.0017280899	-0.0027059838	0.9999448717
27.0000000000	28.0000000000	1.4150779493	0.0101733307	0.0223400842	-0.0017362449	0.0006885590	-0.0002257480	0.9999982302
27.0000000000	30.0000000000	6.9970689761	0.0557784650	0.0993842560	-0.0082532022	0.0007065061	-0.0018397792	0.9999639997
27.0000000000	32.0000000000	12.5530301552	0.0594499066	0.1834988938	-0.0072824026	0.0006932422	-0.0016465095	0.9999718871
28.0000000000	30.0000000000	5.5818607804	0.0478426791	0.0848946975	-0.0065158962	0.0000193008	-0.0016184913	0.9999774614
28.0000000000	32.0000000000	11.1377010443	0.0537157114	0.1766783233	-0.0055452144	0.0000059154	-0.0014245751	0.9999836104
28.0000000000	34.0000000000	15.2446684154	0.0662861019	0.2379062560	-0.0053302983	0.0002135783	-0.0007034393	0.9999855236
29.0000000000	31.0000000000	5.5555038942	0.0369027022	0.0920451151	-0.0020967016	0.0001263801	-0.0011719319	0.9999971072
