idx1	idx2	t_1	t_2	t_3	q_1	q_2	q_3	q_4
24.0000000000	29.0000000000	18.7913953918	0.1301827087	0.0342938163	0.0036081819	0.0005463595	0.0045437318	0.9999830184
24.0000000000	31.0000000000	25.6351774933	0.2178679932	0.0470240408	0.0042255336	0.0007152556	0.0058852503	0.9999734982
25.0000000000	29.0000000000	15.8527320608	0.1343574417	0.0158095902	0.0029653597	0.0010917039	0.0047418956	0.9999837645
25.0000000000	31.0000000000	22.6964832670	0.2248005973	0.0210076663	0.0035834104	0.0012615836	0.0060829680	0.9999742822
26.0000000000	30.0000000000	14.7092014025	0.0998072888	0.0143566964	0.0036079167	0.0006329853	0.0042552805	0.9999842373
26.0000000000	32.0000000000	23.4499613224	0.2046466238	0.0164126463	0.0049909998	0.0013975288	0.0046293882	0.9999758525
27.0000000000	30.0000000000	11.5800572481	0.0632674075	0.0019461303	0.0034756071	0.0010473011	0.0034911387	0.9999873176
27.0000000000	32.0000000000	20.3209681911	0.1547760378	-0.0033036389	0.0048594296	0.0018108368	0.0038645736	0.9999790857
28.0000000000	31.0000000000	10.1678016687	0.0413815220	0.0094584575	0.0027437365	0.0008178028	0.0019182269	0.9999940617
28.0000000000	33.0000000000	19.0532608918	0.1074382122	0.0204004826	0.0034137287	0.0002345519	0.0011602555	0.9999934726
29.0000000000	32.0000000000	12.1341340504	0.0567991243	0.0357872722	0.0018839328	0.0002735834	0.0014989530	0.9999970645
29.0000000000	34.0000000000	19.3673995725	0.0994719364	0.0544909735	0.0005421448	-0.0003536915	-0.0008621770	0.9999994188
30.0000000000	33.0000000000	12.3370326302	0.0470885073	0.0153406301	0.0007885126	0.0000723226	-0.0005410928	0.9999995401
30.0000000000	35.0000000000	21.5594134572	0.0569719590	0.0375287852	-0.0013507455	0.0005219803	-0.0034564990	0.9999929778
31.0000000000	33.0000000000	8.8856197453	0.0320683595	0.0252055721	0.0006694911	-0.0005866119	-0.0007558180	0.9999993182
31.0000000000	36.0000000000	21.8951251504	0.0059030604	0.0696976408	-0.0019511367	-0.0007420746	-0.0068185506	0.9999745746
32.0000000000	35.0000000000	12.8180408001	0.0170226732	0.0443135062	-0.0027340223	-0.0002423066	-0.0038304975	0.9999888968
32.0000000000	37.0000000000	20.4607354109	-0.0642944376	0.0642804566	-0.0049147463	-0.0003666071	-0.0114248325	0.9999225890
33.0000000000	35.0000000000	9.2223610768	0.0199018577	0.0234987852	-0.0021392847	0.0004462011	-0.0029159174	0.9999933609
33.0000000000	37.0000000000	16.8652148708	-0.0474758966	0.0328515860	-0.0043251621	0.0003243993	-0.0105088779	0.9999353735
34.0000000000	37.0000000000	13.2276918647	-0.0230044424	0.0249329781	-0.0035790761	0.0002667886	-0.0090620531	0.9999524980
34.0000000000	38.0000000000	19.0859626815	-0.1365471182	0.0639009379	-0.0040780553	-0.0014864887	-0.0161559966	0.9998600620
35.0000000000	38.0000000000	13.5016522717	-0.1193065676	0.0591747136	-0.0026760380	-0.0018559874	-0.0146910174	0.9998867777
35.0000000000	39.0000000000	17.4688365563	-0.2285542344	0.0904022639	-0.0040462684	-0.0019821857	-0.0196823594	0.9997961309
36.0000000000	39.0000000000	13.6827678805	-0.1382136931	0.0646820865	-0.0035703434	-0.0013831606	-0.0165346853	0.9998559615
36.0000000000	40.0000000000	19.6877727768	-0.3403414950	0.0992368903	-0.0047934558	-0.0006661097	-0.0250946902	0.9996733645
37.0000000000	40.0000000000	15.8342667230	-0.2056006189	0.1114690333	-0.0030739175	-0.0011317295	-0.0206529409	0.9997813392
37.0000000000	41.0000000000	21.9308590032	-0.4763188078	0.1704917100	-0.0026737835	-0.0019091821	-0.0294556353	0.9995606892
38.0000000000	40.0000000000	9.9769052583	-0.0563333155	0.0351183956	-0.0026201790	0.0005883378	-0.0135483071	0.9999046114
38.0000000000	42.0000000000	20.1756919348	-0.4204897180	0.0917174135	-0.0028162693	-0.0004468090	-0.0279528294	0.9996051762
39.0000000000	41.0000000000	12.1100132567	-0.1270166330	0.0528229372	-0.0008545474	-0.0000296318	-0.0173644137	0.9998488616
